QuestionID,Field,Original,Corrected
1300,Explanation,"ICF（国際生活機能分類）における心身機能とは、身体的な機能（例：運動機能、感覚機能）や精神機能（例：認知機能、感情機能）を指します。薬物療法は、うつ病患者の脳内の神経伝達物質のバランスを調整し、精神機能の改善を直接的に目指すものです。他の選択肢は、環境因子への働きかけや社会参加の促進に関わるものです。","ICF（国際生活機能分類）における心身機能とは、身体的な機能（例：運動機能、感覚機能）や精神機能（例：認知機能、感情機能）を指します。薬物療法は、うつ病患者の脳内の神経伝達物質のバランスを調整し、精神機能の改善を直接的に目指すものです。他の選択肢は、環境因子への働きかけや、活動・参加の促進に関わるものです。"
1301,Explanation,"マルトリートメント（maltreatment）とは、虐待、ネグレクト（養育放棄）、心理的虐待など、子どもの健全な発達を阻害する不適切な養育の総称です。アタッチメントは愛着、トラウマインフォームドケアはトラウマの理解に基づくケア、インプリンティングは刷り込み現象、アロマザリングは育児行動の一側面を指します。","マルトリートメント（maltreatment）とは、虐待（身体的虐待、性的虐待、心理的虐待）、ネグレクト（養育放棄）、など、子どもの健全な発達を阻害する不適切な養育の総称です。アタッチメントは愛着、トラウマインフォームドケアはトラウマの理解に基づくケア、インプリンティングは刷り込み現象、アロマザリングは母親が子どもの世話を通して愛情を深める行動を指します。"
1302,Explanation,"いじめ防止対策推進法では、SNS等での誹謗中傷もいじめに含まれます。また、いじめは学校の内外を問わず、児童生徒間で起こる行為が対象となります。学校評価においては、いじめの早期発見と再発防止の取り組みが重視されます。児童生徒から教員への暴力防止に関する直接的な規定や、校長への罰則規定はありません。","いじめ防止対策推進法では、SNS等での誹謗中傷もいじめに含まれます。また、いじめは学校の内外を問わず、児童生徒間で起こる行為が対象となります。学校評価においては、いじめの早期発見と再発防止の取り組みが重視されます。児童生徒から教員への暴力防止に関する直接的な規定や、校長に対する罰則規定はありません。いじめの定義は、一定の人間関係にある者から心理的または物理的な攻撃を受けたことにより、精神的な苦痛を感じている状態を指します。"
1314,Explanation,"合理的配慮は、障害者の権利に関する重要な概念です。精神保健福祉士は、クライエントが職場などで合理的配慮を受けられるように支援することがあります。合理的配慮の提供は、障害者差別解消法で義務付けられています。","合理的配慮は、障害者の権利に関する重要な概念です。精神保健福祉士は、クライエントが職場などで合理的配慮を受けられるように支援することがあります。合理的配慮の提供は、障害者差別解消法で義務付けられており、権利擁護の調整機能に該当します。"
1317,Explanation,"利用者たちが主体的に集まり、互いに支え合う活動であることから、セルフヘルプグループに該当します。当事者研究は、自分自身の経験を研究する活動です。リカバリーカレッジは、当事者や家族が講師となって、リカバリーについて学ぶ場です。","利用者たちが主体的に集まり、互いに支え合う活動であることから、セルフヘルプグループに該当します。当事者研究は、自分自身の経験を研究する活動です。リカバリーカレッジは、当事者や家族が講師となって、リカバリーに関する学習機会を提供する場です。"
1318,Explanation,"利用者たちが自ら活動を始め、運営していることから、コンシューマー・イニシアティブに該当します。L精神保健福祉士は、その活動を支援する役割を担っています。コンシューマー・イニシアティブとは、消費者が主体となって行う活動のことです。","利用者たちが自ら活動を始め、運営していることから、コンシューマー・イニシアティブに該当します。L精神保健福祉士は、その活動を支援する役割を担っています。コンシューマー・イニシアティブとは、サービス利用者が主体となって行う活動のことです。"
1320,Explanation,"バイオサイコソーシャルモデルは、生物学的、心理的、社会的な側面から包括的に理解しようとするアプローチです。Cさんの場合、自傷行為や摂食障害だけでなく、家庭環境や学校での状況も考慮する必要があります。それぞれの要素が相互に影響しあっているという視点が重要です。","バイオサイコソーシャルモデルは、生物学的、心理的、社会的な側面から包括的に理解しようとするアプローチです。Cさんの場合、自傷行為だけでなく、家庭環境や学校での状況も考慮する必要があります。それぞれの要素が相互に影響しあっているという視点が重要です。"
1321,Explanation,"スーパービジョンを受けることで、BワーカーはCさんの抱える問題をより深く理解し、適切な支援方法を見つけるためのアセスメント能力を高めることができます。スーパービジョンは、専門家が自身の知識や技術を向上させるための指導・助言のプロセスです。","スーパービジョンを受けることで、BワーカーはCさんの抱える問題をより深く理解し、適切な支援方法を見つけるためのアセスメント能力を高めることができます。スーパービジョンは、専門職が自身の知識、技術、価値観を内省し、自己成長を促すための継続的な教育訓練のプロセスです。"
1322,Explanation,"家族教室への参加を勧めることで、母親が父親の飲酒問題がCさんを含む家族全体に与える影響を理解し、適切な対応を学べるように支援することが目的です。家族教室では、アルコール依存症に関する知識や、家族としての対応方法などを学ぶことができます。","家族教室への参加を勧めることで、母親が父親の飲酒問題がCさんを含む家族全体に与える影響を理解し、適切な対応を学べるように支援することが目的です。家族教室では、アルコール依存症に関する知識や、家族としての対応、利用できる社会資源などを学ぶことができます。"
1323,Explanation,"精神科病院の管理者は、入院患者の権利擁護と適切な医療提供の責任を負います。退院請求への対応はその一環です。また、医療保護入院者の入院届を都道府県知事に提出することも管理者の義務です。措置入院者の退院は、指定医の判断に基づき、都道府県知事が行います。","精神科病院の管理者は、入院患者の権利擁護と適切な医療提供の責任を負います。退院請求への対応はその一環です。また、医療保護入院者の入院届を都道府県知事に提出することも管理者の義務です。措置入院者の退院は、指定医の診察結果に基づき、都道府県知事が判断します。医療保護入院の告知義務は管理者にありません。"
1324,Explanation,"ひきこもり支援コーディネーターは、ひきこもりの状態にある人やその家族に対する専門的な支援を行います。ひきこもり地域支援センターは、都道府県・指定都市が設置主体となっており、ひきこもりに関する相談、訪問支援、居場所の提供などを行います。年齢制限はありません。","ひきこもり支援コーディネーターは、ひきこもりの状態にある人やその家族に対する専門的な支援を行います。ひきこもり地域支援センターは、都道府県・指定都市が設置主体となっており、ひきこもりに関する相談、訪問支援、居場所の提供などを行います。年齢制限はなく、家族からの相談も対象です。設置根拠法は特になく、各自治体の判断によります。"
1326,Explanation,"地域生活定着支援センターは、主に矯正施設からの退所者や、住居のない釈放予定者等に対して、地域生活への移行を支援します。手帳の所持は要件ではありません。市町村ではなく都道府県・指定都市が設置主体です。職員配置基準も特に定められていません。","地域生活定着支援センターは、主に矯正施設からの退所者や、住居のない釈放予定者等に対して、地域生活への移行を支援します。手帳の所持は要件ではありません。設置主体は都道府県・指定都市です。職員配置基準は定められていません。"
1328,Explanation,"医療観察制度（「心神喪失等の状態で重大な他害行為を行った者の医療及び観察等に関する法律」）は、対象者の社会復帰を促進することを目的としています。対象となる重大な他害行為は、殺人、放火、強盗、強制性交等、傷害等です。審判は裁判官と精神保健審判員が行い、精神保健指定医の鑑定結果等を参考にします。精神保健審判員には、精神保健福祉士だけでなく、医師、法律家などが任用されます。","医療観察制度（「心神喪失等の状態で重大な他害行為を行った者の医療及び観察等に関する法律」）は、対象者の社会復帰を促進することを目的としています。対象となる重大な他害行為は、殺人、放火、強盗、強制性交等、傷害等です。審判は裁判官と精神保健審判員が行い、精神保健指定医の鑑定結果等を参考にします。精神保健審判員には、精神保健福祉士だけでなく、医師、法律家などが任用されます。入院処遇は、専門医療機関において、社会復帰に向けて多職種チームで計画的に行われます。"
1332,Explanation,"共同生活援助（グループホーム）は、障害福祉サービスの一つであり、地域生活支援事業ではなく、訓練等給付または介護給付に位置づけられます。体験利用ができる場合もありますが、必須ではありません。公営住宅も使用可能です。利用期間に制限はありません。","共同生活援助（グループホーム）は、障害福祉サービスの一つであり、地域生活支援事業ではなく、訓練等給付または介護給付に位置づけられます。同一の建物に居室があることが要件ではありません。体験利用ができる場合もありますが、必須ではありません。公営住宅も使用可能です。利用期間に制限はありません。"
1336,Explanation,"Aさんは労働災害による休業のため、原則として療養補償給付と休業補償給付を受けられます。傷病手当金は健康保険の給付であり、業務外の事由による病気やけがで休業した場合に支給されます。障害補償年金と障害補償一時金は、労働災害によって障害が残った場合に支給されます。","Aさんは労働災害による休業のため、原則として療養補償給付と休業補償給付を受けられます。療養補償給付は、業務上の事由または通勤による負傷や疾病の治療にかかる費用を補償するものです。休業補償給付は、療養のために労働することができない期間の所得を補償するものです。傷病手当金は健康保険の給付であり、業務外の事由による病気やけがで休業した場合に支給されます。障害補償年金と障害補償一時金は、労働災害によって障害が残った場合に支給されます。"
1337,Explanation,"U機関（地域障害者職業センター）は、職場復帰のために、休職者本人だけでなく雇用事業主への支援も行います。職場環境の改善に関する助言や、復職後のフォローアップなど、包括的なサポートを提供します。","U機関（地域障害者職業センター）は、職場復帰のために、休職者本人だけでなく雇用事業主への支援も行います。職場環境の改善に関する助言や、復職後のフォローアップ、障害に応じた作業方法の工夫など、包括的なサポートを提供します。"
1338,Explanation,"WAIS-IV（ウェクスラー成人知能検査第4版）は、16歳から90歳を対象とした包括的な知能検査であり、言語理解、知覚推理、ワーキングメモリー、処理速度の4つの指標と、それらを総合した全検査IQによって、成人の認知能力を詳細に評価します。他の選択肢は、特定の側面や対象年齢が異なる検査です。","WAIS-IV（ウェクスラー成人知能検査第4版）は、16歳から90歳を対象とした包括的な知能検査であり、言語理解、知覚推理、ワーキングメモリー、処理速度の4つの指標と、それらを総合した全検査IQによって、成人の認知能力を詳細に評価します。他の選択肢は、人格特性や幼児の知能を評価する検査であり、目的が異なります。"
1339,Explanation,"神経性無食欲症（拒食症）では、自己の身体像の歪みが特徴的であり、体重や体型に対する過剰なこだわりが見られます。また、低栄養状態が続くと、内分泌系の異常が生じ、無月経となることが一般的です。","神経性無食欲症（拒食症）では、自己の身体像の歪みが特徴的であり、体重や体型に対する過剰なこだわりが見られます。また、低栄養状態が続くと、内分泌系の異常が生じ、無月経となることが一般的です。甲状腺機能は低下することが多く、性差では女性に多く見られます。また、活動レベルはむしろ増加することがあります（活動性拒食）。"
1340,Explanation,"Aさんの状況は、震災というトラウマとなる出来事の直後に見られる症状（現実感の喪失、フラッシュバック、不安、睡眠障害など）であり、急性ストレス反応（ASD）に合致します。ASDは、トラウマとなる出来事の経験後、3日から1ヶ月以内に発症する精神疾患です。","Aさんの状況は、震災というトラウマとなる出来事の直後に見られる症状（現実感の喪失、解離症状、フラッシュバック、不安、睡眠障害など）であり、急性ストレス反応（ASD）に合致します。ASDは、トラウマとなる出来事の経験後、3日から1ヶ月以内に発症する精神疾患です。1ヶ月以上症状が持続する場合は、心的外傷後ストレス障害（PTSD）の可能性を考慮します。"
1341,Explanation,"うつ病における妄想は、抑うつ気分と一致した内容を持つことが多く、罪業妄想（過去の些細な出来事を重大な罪としてとらえる）、貧困妄想（経済的に困窮していると信じ込む）、心気妄想（重篤な病気にかかっていると信じ込む）など、自己を過小評価する内容が見られることがあります。","うつ病における妄想は、抑うつ気分と一致した内容を持つことが多く、罪業妄想（過去の些細な出来事を重大な罪としてとらえる）、貧困妄想（経済的に困窮していると信じ込む）、心気妄想（重篤な病気にかかっていると信じ込む）など、自己を過小評価する内容が見られることがあります。他の選択肢は、統合失調症や躁病などで見られる妄想の例です。"
1342,Explanation,"自閉スペクトラム症（ASD）の中核症状の一つとして、感覚刺激に対する過敏さ（特定の音や光に対して過剰に反応する）または鈍感さ（痛みを感じにくい、温度変化に気づきにくいなど）があります。DSM-5では、これらの感覚的な特徴が診断基準に含まれています。","自閉スペクトラム症（ASD）の中核症状の一つとして、感覚刺激に対する過敏さ（特定の音や光に対して過剰に反応する）または鈍感さ（痛みを感じにくい、温度変化に気づきにくいなど）があります。DSM-5では、これらの感覚的な特徴が、社会的コミュニケーションおよび相互関係の持続的な障害、行動、興味、または活動の限定された反復的な様式と並んで、診断基準に含まれています。"
1344,Explanation,"精神保健福祉法第50条には、精神科病院における業務従事者による精神障害者への虐待を発見した場合、速やかに都道府県知事に通報する義務が定められています。これは、精神障害者の権利擁護と虐待の早期発見・防止を目的としています。","精神保健福祉法第50条には、精神科病院における業務従事者による精神障害者への虐待を発見した場合、速やかに都道府県知事に通報する義務が定められています。これは、精神障害者の権利擁護と虐待の早期発見・防止を目的としています。通報を受けた都道府県は、事実確認を行い、必要な措置を講じることになります。"
1345,Explanation,"医療観察法に基づく審判の申し立て後、地方裁判所は対象者の精神状態を詳細に評価するため、指定入院医療機関への鑑定入院を命じることが最初のステップとなります。鑑定入院の結果に基づいて、裁判官と精神保健審判員が合議し、適切な処遇（入院または通院）を決定します。","医療観察法に基づく審判の申し立て後、地方裁判所は対象者の精神状態を詳細に評価するため、指定入院医療機関への鑑定入院を命じることが最初のステップとなります。鑑定入院の結果や、精神鑑定医の意見、精神保健審判員の意見などを踏まえて、裁判官と精神保健審判員が合議し、対象者の病状や再犯の危険性などを考慮して、適切な処遇（入院または通院）を決定します。"
1347,Explanation,"令和2年患者調査によると、外来患者において最も多い精神疾患の傷病分類は気分障害（うつ病、躁うつ病など）です。","令和2年患者調査によると、外来患者において最も多い精神疾患の傷病分類は気分障害（うつ病、躁うつ病など）です。気分障害には、うつ病、双極性障害（躁うつ病）などが含まれます。"
1348,Explanation,"吉川武彦は精神保健活動を、治療的精神保健、予防的精神保健、支持的精神保健の3つに分類しました。支持的精神保健は、地域社会の支援体制を強化する活動であり、ボランティア育成が該当します。","吉川武彦は精神保健活動を、治療的精神保健、予防的精神保健、支持的精神保健の3つに分類しました。支持的精神保健は、地域社会の支援体制を強化する活動であり、精神保健福祉ボランティアの育成や、当事者・家族会への支援などが該当します。"
1349,Explanation,"ロコモティブシンドローム（運動器症候群）は、運動器（筋肉、骨、関節など）の機能低下により、歩行や日常生活に支障をきたしている状態を指します。Bさんの事例は、運動不足による筋力低下が原因で歩行困難が生じているため、ロコモティブシンドロームに該当します。","ロコモティブシンドローム（運動器症候群）は、運動器（筋肉、骨、関節など）の機能低下により、歩行や日常生活に支障をきたしている状態を指します。Bさんの事例は、運動不足による筋力低下が原因で歩行困難が生じているため、ロコモティブシンドロームに該当します。メタボリックシンドロームは、内臓脂肪型肥満に高血圧、高血糖、脂質異常が組み合わさった状態を指します。"
1350,Explanation,"スクールソーシャルワーカー（SSW）は、学校内外の関係機関と連携し、生徒を取り巻く問題を解決するためにチームを構築し支援します。また、教職員に対して、生徒の抱える問題に関する理解を深めるための研修も行います。","スクールソーシャルワーカー（SSW）は、学校内外の関係機関と連携し、生徒を取り巻く問題を解決するためにチームを構築し支援します。また、教職員に対して、生徒の抱える問題に関する理解を深めるための研修も行います。SSWは、児童の心理状態の評価や児童の一時保護といった、専門的な心理療法や児童福祉司の業務は行いません。"
1351,Explanation,"パワーハラスメントは、職務上の地位や優位性を利用して、業務上必要かつ相当な範囲を超えて精神的・身体的な苦痛を与える行為を指します。業務上明らかに不要なことや遂行不可能なことの強制・仕事の妨害は、この定義に該当します。","パワーハラスメントは、職務上の地位や優位性を利用して、業務上必要かつ相当な範囲を超えて精神的・身体的な苦痛を与える行為を指します。業務上明らかに不要なことや遂行不可能なことの強制・仕事の妨害は、この定義に該当します。2020年の法改正により、全ての事業主に対してハラスメント防止措置が義務化されました。セクシュアルハラスメントは同性に対するものも対象です。マタニティハラスメントは男女雇用機会均等法で禁止されています。ハラスメントに起因する精神障害は、労働災害認定の対象となります。"
1352,Explanation,"ストレスチェックの結果、高ストレス者として選定され、労働者本人が希望した場合、事業者は医師による面接指導を実施する義務があります。ストレスチェックは、全ての事業所ではなく、常時50人以上の労働者を使用する事業所が対象で、年1回の実施が義務付けられています。","ストレスチェックの結果、高ストレス者として選定され、労働者本人が希望した場合、事業者は医師による面接指導を実施する義務があります。ストレスチェックは、全ての事業所ではなく、常時50人以上の労働者を使用する事業所が対象で、年1回の実施が義務付けられています。ストレスチェックの実施者は、医師、保健師、または厚生労働大臣が定める研修を修了した看護師や精神保健福祉士などが該当します。"
1353,Explanation,"ポストベンション（postvention）とは、自殺が発生した後に行われる、遺族や関係者への心理的サポート、ケア、再発防止策などを指します。Cさんのように自殺で家族を亡くした人への支援は、まさにポストベンションにあたります。","ポストベンション（postvention）とは、自殺が発生した後に行われる、遺族や関係者への心理的サポート、ケア、再発防止策などを指します。Cさんのように自殺で家族を亡くした人への支援は、まさにポストベンションにあたります。プリベンションは自殺の予防、インターベンションは危機介入を意味します。"
1354,Explanation,"精神保健法（1987年）は、精神科病院における職員による入院患者への虐待事件を契機に、患者の人権保護を強化するために制定されました。この法律で任意入院制度が導入され、患者本人の同意に基づく入院が可能になりました。","精神保健法（1987年）は、精神科病院における職員による入院患者への虐待事件を契機に、患者の人権保護を強化するために制定されました。この法律で任意入院制度が導入され、患者本人の同意に基づく入院が可能になりました。精神保健福祉法は、精神保健法を改正する形で1995年に制定されました。"
1355,Explanation,"施設症（hospitalism）は、長期にわたる施設（病院や施設）への入所によって、自発性、意欲、社会性などが低下する状態を指します。Dさんの事例では、長年の入院生活により、気力の低下や退院を諦めている様子が見られるため、施設症が最も適切です。","施設症（hospitalism）は、長期にわたる施設（病院や施設）への入所によって、自発性、意欲、社会性などが低下する状態を指します。Dさんの事例では、長年の入院生活により、気力の低下や退院を諦めている様子が見られるため、施設症が最も適切です。施設コンフリクトは、施設内での人間関係の葛藤を指します。"
1356,Explanation,"精神保健福祉法において、精神障害者の家族には、精神障害者の人権擁護の観点から、退院請求の申し立てを行う権利が認められています。これは、入院の必要性がなくなった場合に、家族が退院を求めることができるようにするためのものです。","精神保健福祉法において、精神障害者の家族には、精神障害者の人権擁護の観点から、退院請求の申し立てを行う権利が認められています。これは、入院の必要性がなくなった場合に、家族が退院を求めることができるようにするためのものです。ただし、家族の義務として、精神障害者に医療を受けさせる際に医師の指示に従うことや、精神障害者が自身や他人を傷つけないように監督する義務はありません。"
1357,Explanation,"精神保健福祉士法成立の背景には、日本の精神科医療における課題がありました。特に、諸外国と比較して長期入院患者の割合が高く、地域移行の遅れが重要な問題として認識されていました。これらの状況を改善するために、専門職である精神保健福祉士の制度化が求められました。","精神保健福祉士法成立の背景には、日本の精神科医療における課題がありました。特に、諸外国と比較して精神病床への長期入院患者の割合が高く、地域移行が進んでいない状況を改善することが急務でした。そのため、専門職である精神保健福祉士を制度化し、地域生活支援を強化する必要性が高まりました。"
1358,Explanation,"精神保健福祉士法第40条には、精神保健福祉士の義務として、①関係機関との連携（保健医療サービス、福祉サービス等の提供者との連携）と、②利用者の立場に立った誠実な業務遂行が明記されています。研修受講は努力義務であり（資質向上の責務）、秘密保持義務は退職後も継続し、業務は主治医の指示だけでなく、専門職としての自主的な判断に基づき行われます。","精神保健福祉士法第40条には、精神保健福祉士の義務として、①関係機関との連携（保健医療・福祉サービスの提供者との連携）と、②利用者の立場に立った誠実な業務遂行が明記されています。研修受講は努力義務であり（資質向上の責務）、秘密保持義務は退職後も継続し、業務は主治医の指示を尊重しつつも、専門職としての自主的な判断に基づき行われます。"
1359,Explanation,"Aさんは高齢であり、配偶者を亡くし、さらに同居する息子さんのひきこもりという問題を抱えています。まず、Aさんの心身の健康状態、特に家事負担や精神的な負担を評価することが優先されます。その上で、息子さんの状況や経済状況など、他の要素についても評価を進めることが重要です。","Aさんは高齢であり、配偶者を亡くし、さらに同居する息子さんのひきこもりという問題を抱えています。まずは、Aさんの心身の健康状態、特に家事負担や精神的な負担を評価することが優先されます。Aさんの状況を把握した上で、息子さんの状況や経済状況など、他の要素についても評価を進めることが重要です。"
1361,Explanation,"息子さんから電話があったことは、支援を求める意思の表れと捉えられます。この段階では、まず息子さんの気持ちに寄り添い、信頼関係を築くことが最優先です。「無知の姿勢」とは、相手の経験や感情を尊重し、先入観や決めつけを持たずに傾聴する姿勢を指します。信頼関係が築けて初めて、具体的な支援策（外出支援、就労支援など）の検討が可能になります。","息子さんから電話があったことは、支援を求める意思の表れと捉えられます。この段階では、まず息子さんの気持ちに寄り添い、信頼関係を築くことが最優先です。「無知の姿勢（初心者意識）」とは、相手の経験や感情を尊重し、先入観や決めつけを持たずに傾聴する姿勢を指します。信頼関係が築けて初めて、具体的な支援策（外出支援、就労支援など）の検討が可能になります。"
1365,Explanation,"インターディシプリナリー・モデル（学際的連携モデル）では、多職種がそれぞれの専門性を活かし、対等な立場で協働して支援を行います。看護師が専門性を活かして運動プログラムを担当したり、精神保健福祉士が制度に関する専門知識を提供したりすることは、このモデルに合致します。医師の指導による一方的な情報収集や、特定の専門職が他の専門領域に介入することは、このモデルの趣旨に沿いません。","インターディシプリナリー・モデル（学際的連携モデル）では、多職種がそれぞれの専門性を活かし、対等な立場で協働して支援を行います。看護師が専門性を活かして運動プログラムを担当したり、精神保健福祉士が制度に関する専門知識を提供したりすることは、このモデルに合致します。医師の指導による一方的な情報収集は、このモデルの趣旨に沿いません。ケア会議で意見を述べ合うことは重要ですが、選択肢の内容からは対等な立場での協働という点が明確ではありません。"
1368,Explanation,"事例はAさんが退院に消極的な発言をしている状況です。精神保健福祉士は、Aさんの気持ちに寄り添い、退院後の生活に対する不安を理解しようとする姿勢が重要です。Aさんの言葉の背後にある感情を汲み取り、共感的に応じることで、信頼関係を築き、今後の支援につなげることが求められます。","事例はAさんが退院に消極的な発言をしている状況です。精神保健福祉士は、Aさんの気持ちに寄り添い、退院後の生活に対する不安を理解しようとする姿勢が重要です。Aさんの言葉の背後にある感情を汲み取り、共感的に応じることで、信頼関係を築き、今後の支援につなげることが求められます。Aさんの不安な気持ちを代弁することで、その後の具体的な支援へと繋げやすくなります。"
1369,Explanation,"地域移行支援における初期段階として、入院中の初期支援が適切に行われていたかを評価することは重要です。これにより、Aさんのニーズや課題を正確に把握し、退院後の生活を円滑に進めるための支援計画を立てることができます。他の選択肢は、初期評価の後に行われる可能性のある支援内容です。","地域移行支援における初期段階として、入院中の初期支援が適切に行われていたかを評価することは重要です。これにより、Aさんのニーズや課題を正確に把握し、退院後の生活を円滑に進めるための支援計画を立てることができます。インテーク面接等を通じて、入院に至った経緯、入院中の治療やリハビリテーション、退院に向けた準備状況などを確認します。他の選択肢は、初期評価の後に行われる可能性のある支援内容です。"
1370,Explanation,"Aさんは近隣住民の目が気になるという具体的な不安を抱えています。この状況に対し、地域とのつながりを築く支援が最も適切です。民生委員は地域社会に精通しており、Aさんと共に近隣住民との関係構築をサポートすることで、Aさんの地域生活への不安軽減と社会参加促進が期待できます。","Aさんは近隣住民の目が気になるという具体的な不安を抱えています。この状況に対し、地域とのつながりを築く支援が最も適切です。民生委員は地域社会に精通しており、Aさんと共に近隣住民との関係構築をサポートすることで、Aさんの地域生活への不安軽減と社会参加促進が期待できます。地域社会資源を活用し、Aさんの社会生活における困難を緩和する支援が効果的です。"
1371,Explanation,"アンソニーらの精神科リハビリテーションの基本原則は、利用者の主体性と自己決定を重視し、自立した生活を支援することを目的としています。専門職は、利用者が自身の力で問題解決や目標達成できるよう、支援的な役割を担います。","アンソニーらの精神科リハビリテーションの基本原則は、利用者の主体性と自己決定を重視し、自立した生活を支援することを目的としています。専門職は、利用者が自身の力で問題解決や目標達成できるよう、支援的な役割を担います。利用者の強みを活かし、自己効力感を高めることが重要視されます。"
1372,Explanation,"パーソナルリカバリーは、精神疾患や障害を持つ人が、その人自身の価値観や目標に基づき、主体的に人生を再構築していくプロセスです。症状の軽減だけでなく、希望、自己決定、社会参加といった要素が重視されます。","パーソナルリカバリーは、精神疾患や障害を持つ人が、その人自身の価値観や目標に基づき、主体的に人生を再構築していくプロセスです。症状の軽減だけでなく、希望、自己決定、社会参加といった要素が重視されます。自分らしい生き方を追求し、困難を乗り越えながら成長していく過程を指します。"
1373,Explanation,"アサーショントレーニングは、相手の権利を尊重しつつ、自分の意見や感情を率直、かつ適切に表現するスキルを習得するためのプログラムです。円滑なコミュニケーションを促進し、対人関係の改善に役立ちます。","アサーショントレーニングは、相手の権利を尊重しつつ、自分の意見や感情を率直、かつ適切に表現するスキルを習得するためのプログラムです。円滑なコミュニケーションを促進し、対人関係の改善に役立ちます。自己表現のスキルを高め、より良い人間関係を築くことを目指します。"
1374,Explanation,"Aさんは夫の飲酒問題により疲弊し、感情的な負担を抱えている状態です。まずは、Aさんの気持ちに寄り添い、共感的な態度を示すことが重要です。Aさんの感情を受け止め、理解することで、信頼関係を築き、今後の支援につなげることができます。","Aさんは夫の飲酒問題により疲弊し、感情的な負担を抱えている状態です。まずは、Aさんの気持ちに寄り添い、共感的な態度を示すことが重要です。Aさんの感情を受け止め、理解することで、信頼関係を築き、今後の支援につなげることができます。Aさんの抱える苦悩を理解し、精神的なサポートを提供することが優先されます。"
1375,Explanation,"このプログラムは、家族が患者本人に対して、自分の気持ちや困りごとを「私」を主語にして伝えることで、より率直で建設的なコミュニケーションを図ることを目的としています。これにより、患者本人の行動変容を促し、家族関係の改善を目指します。","このプログラムは、家族が患者本人に対して、自分の気持ちや困りごとを「私」を主語にして伝えることで、より率直で建設的なコミュニケーションを図ることを目的としています。これにより、患者本人の行動変容を促し、家族関係の改善を目指します。「私メッセージ」を活用することで、相手を責めることなく、自分の気持ちを伝えることができます。"
1376,Explanation,"アラノン（Al-Anon）は、アルコール依存症者の家族や友人など、当事者を支える人々のための自助グループです。互いの経験を共有し、支え合うことで、心理的な負担を軽減し、問題解決を促進します。ギャマノンも同様の目的を持つグループですが、アラノンの方が一般的です。ナラノンは薬物依存症者の家族のためのグループです。","アラノン（Al-Anon）は、アルコール依存症者の家族や友人など、当事者を支える人々のための自助グループです。互いの経験を共有し、支え合うことで、心理的な負担を軽減し、問題解決を促進します。ギャマノンも同様の目的を持つグループですが、アラノンの方が一般的です。ナラノンは薬物依存症者の家族のためのグループです。断酒会は、アルコール依存症者自身のためのグループです。"
1377,Explanation,"Aさんは自らの意思での入院を拒否しており、かつ身寄りがないため、精神保健福祉法に基づき、C市長の同意を得て入院しています。この場合、措置入院の要件を満たしていると判断できます。措置入院は、本人に自傷他害のおそれがある場合に適用されます。","Aさんは自らの意思での入院を拒否しており、かつ身寄りがないため、精神保健福祉法に基づき、C市長の同意を得て入院しています。この場合、措置入院の要件を満たしていると判断できます。措置入院は、本人に自傷他害のおそれがある場合に、都道府県知事または政令指定都市の市長の決定によって行われる入院です。"
1378,Explanation,"E精神保健福祉士は、Aさんの退院支援委員会の準備を行うなど、退院支援に関する役割を担っています。退院支援委員会への参加、情報提供、関係機関との連携などが具体的な活動として挙げられます。","E精神保健福祉士は、Aさんの退院支援委員会の準備を行うなど、退院支援に関する役割を担っています。退院支援委員会への参加、情報提供、関係機関との連携などが具体的な活動として挙げられます。退院後の生活を見据えた支援計画の作成も重要な業務です。"
1379,Explanation,"障害者総合支援法に基づくサービスは、原則として申請窓口が市町村になります。サービスを利用するには、サービスの種類に応じて障害支援区分の認定が必要となる場合があります。また、自己負担額は所得に応じて変動します。","障害者総合支援法に基づくサービスは、原則として申請窓口が市町村になります。サービスを利用するには、サービスの種類や内容に応じて障害支援区分の認定が必要となる場合があります。自己負担額は所得に応じて変動し、所得に応じて上限額が設定されます。"
1380,Explanation,"精神機能は、注意、記憶、思考、感情など、脳の機能に関連する要素です。ICFにおける「心身機能」は、生理機能（精神機能を含む）と身体構造に分類されます。運動機能や感覚機能も脳と関連しますが、ICFの分類ではより広範な概念として捉えられます。","精神機能は、注意、記憶、思考、感情、意欲など、脳の高次機能に関連する要素です。ICFにおける「心身機能」は、生理機能（精神機能を含む）と身体構造に分類されます。運動機能や感覚機能も脳と関連しますが、ICFの分類ではより広範な身体機能として捉えられます。"
1381,Explanation,"環境因子は、個人が生活する上で影響を与える物理的、社会的、制度的な環境要素を指します。家族のサポート、職場の人間関係、公共交通機関の利用可能性、社会的な障壁などが含まれます。一方、個人の価値観は「個人因子」に分類されます。","環境因子は、個人が生活する上で影響を与える物理的環境、社会的環境、制度的環境などの外的要因を指します。家族のサポート、職場の人間関係、公共交通機関の利用可能性、社会的な障壁などが含まれます。一方、個人の価値観、性格、ライフスタイルなどは「個人因子」に分類されます。"
